match_id,date_utc,competition,home,away,home_goals,away_goals
wc2026_75,2026-06-30,FIFA World Cup,Netherlands,Morocco,1,1
wc2026_78,2026-06-30,FIFA World Cup,Ivory Coast,Norway,1,2
wc2026_77,2026-06-30,FIFA World Cup,France,Sweden,3,0
wc2026_79,2026-07-01,FIFA World Cup,Mexico,Ecuador,2,0
wc2026_80,2026-07-01,FIFA World Cup,England,DR Congo,2,1
wc2026_82,2026-07-01,FIFA World Cup,Belgium,Senegal,2,2
wc2026_81,2026-07-02,FIFA World Cup,United States,Bosnia and Herzegovina,2,0
wc2026_84,2026-07-02,FIFA World Cup,Spain,Austria,3,0
wc2026_83,2026-07-02,FIFA World Cup,Portugal,Croatia,2,1
wc2026_85,2026-07-03,FIFA World Cup,Switzerland,Algeria,2,0
wc2026_88,2026-07-03,FIFA World Cup,Australia,Egypt,1,1
wc2026_86,2026-07-03,FIFA World Cup,Argentina,Cape Verde,2,2
wc2026_87,2026-07-04,FIFA World Cup,Colombia,Ghana,1,0
