team,rating_status,priority,current_attack,current_defense,current_recent_form,proposal_attack,proposal_defense,proposal_recent_form,reference_attack,reference_defense,reference_recent_form,recommended_attack,recommended_defense,recommended_recent_form,human_decision,human_notes,review_status
Argentina,generated_from_behavior,high,0.597,0.624,0.651,0.668,0.707,0.745,,,,0.668,0.707,0.745,,,pending_human_approval
Brazil,generated_from_behavior,high,0.573,0.566,0.582,0.628,0.618,0.612,,,,0.628,0.618,0.612,,,pending_human_approval
France,generated_from_behavior,high,0.62,0.558,0.63,0.7,0.61,0.705,,,,0.7,0.61,0.705,,,pending_human_approval
Germany,generated_from_behavior,high,0.627,0.557,0.636,0.703,0.602,0.717,,,,0.703,0.602,0.717,,,pending_human_approval
Spain,generated_from_behavior,high,0.6,0.586,0.622,0.674,0.654,0.689,,,,0.674,0.654,0.689,,,pending_human_approval
Netherlands,generated_from_behavior,high,0.615,0.543,0.581,0.684,0.581,0.61,,,,0.684,0.581,0.61,,,pending_human_approval
Portugal,manual_existing,reviewed,0.84,0.76,0.76,0.84,0.76,0.76,,,,0.84,0.76,0.76,,,preserve_manual_existing
England,manual_existing,reviewed,0.82,0.8,0.78,0.82,0.8,0.78,,,,0.82,0.8,0.78,,,preserve_manual_existing
Uruguay,generated_from_behavior,high,0.503,0.587,0.529,0.514,0.635,0.51,,,,0.514,0.635,0.51,,,pending_human_approval
Morocco,generated_from_behavior,high,0.581,0.628,0.64,0.629,0.697,0.724,,,,0.629,0.697,0.724,,,pending_human_approval
United States,generated_from_behavior,high,0.605,0.54,0.601,0.656,0.563,0.648,,,,0.656,0.563,0.648,,,pending_human_approval
Norway,generated_from_behavior,high,0.644,0.568,0.638,0.713,0.604,0.72,,,,0.713,0.604,0.72,,,pending_human_approval
