parameter_set_id,base_total_goals,elo_xg_weight,attack_weight,defense_weight,draw_inflation_factor,favorite_strength_scale,underdog_resistance_scale,external_prior_weight,rating_gap_to_xg_scale,goal_correlation_adjustment,notes
baseline_current,2.5,0.0032,0.55,0.45,1.0,1.0,1.0,0.0,1.0,0.0,Current transparent baseline.
base_goals_2.2,2.2,0.0032,0.55,0.45,1.0,1.0,1.0,0.0,1.0,0.0,One-axis base total goals sensitivity.
base_goals_2.4,2.4,0.0032,0.55,0.45,1.0,1.0,1.0,0.0,1.0,0.0,One-axis base total goals sensitivity.
base_goals_2.6,2.6,0.0032,0.55,0.45,1.0,1.0,1.0,0.0,1.0,0.0,One-axis base total goals sensitivity.
base_goals_2.8,2.8,0.0032,0.55,0.45,1.0,1.0,1.0,0.0,1.0,0.0,One-axis base total goals sensitivity.
elo_weight_0.75,2.5,0.0024000000000000002,0.55,0.45,1.0,1.0,1.0,0.0,1.0,0.0,One-axis Elo xG sensitivity.
elo_weight_1.25,2.5,0.004,0.55,0.45,1.0,1.0,1.0,0.0,1.0,0.0,One-axis Elo xG sensitivity.
atk_0.45_def_0.55,2.5,0.0032,0.45,0.55,1.0,1.0,1.0,0.0,1.0,0.0,Attack/defense balance sensitivity.
atk_0.65_def_0.35,2.5,0.0032,0.65,0.35,1.0,1.0,1.0,0.0,1.0,0.0,Attack/defense balance sensitivity.
draw_0.90,2.5,0.0032,0.55,0.45,0.9,1.0,1.0,0.0,1.0,0.0,Transparent draw probability post-calibration.
draw_1.10,2.5,0.0032,0.55,0.45,1.1,1.0,1.0,0.0,1.0,0.0,Transparent draw probability post-calibration.
draw_1.20,2.5,0.0032,0.55,0.45,1.2,1.0,1.0,0.0,1.0,0.0,Transparent draw probability post-calibration.
favorite_0.85,2.5,0.0032,0.55,0.45,1.0,0.85,1.0,0.0,1.0,0.0,Favorite probability scaling sensitivity.
favorite_1.15,2.5,0.0032,0.55,0.45,1.0,1.15,1.0,0.0,1.0,0.0,Favorite probability scaling sensitivity.
underdog_0.90,2.5,0.0032,0.55,0.45,1.0,1.0,0.9,0.0,1.0,0.0,Underdog resistance sensitivity.
underdog_1.10,2.5,0.0032,0.55,0.45,1.0,1.0,1.1,0.0,1.0,0.0,Underdog resistance sensitivity.
goal_corr_m0.05,2.5,0.0032,0.55,0.45,1.0,1.0,1.0,0.0,1.0,-0.05,Goal-market correlation sensitivity.
goal_corr_p0.05,2.5,0.0032,0.55,0.45,1.0,1.0,1.0,0.0,1.0,0.05,Goal-market correlation sensitivity.
