team,fifa_rank,fifa_points,external_elo,source,last_updated,notes
Argentina,1,1877.27,,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only
Brazil,6,1765.86,,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only
France,3,1870.70,,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only
Germany,10,1735.77,,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only
Spain,2,1874.71,,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only
Netherlands,8,1753.57,,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only
Portugal,5,1767.85,,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only
England,4,1828.02,,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only
Uruguay,16,1673.07,,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only
Morocco,7,1755.10,,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only
United States,17,1671.23,,FIFA ranking snapshot via Sofascore,2026-06-21,Source lists USA; mapped to United States
Norway,31,1557.44,,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only
