result_match_id,result_date_utc,result_home,result_away,result_home_goals,result_away_goals,result_actual_result,fixture_match_id,fixture_kickoff_utc,fixture_home,fixture_away,join_method,join_confidence,join_reason,team_order_status,date_delta_hours,canonical_match_key,evaluation_eligible_1x2
537327,2026-06-11,Mexico,South Africa,2,0,home_win,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,mexico|south africa|2026-06-11|world cup,True
csv_2026_06_11_south_korea_czechia_2_1_fifa_world_cup,2026-06-11,South Korea,Czechia,2,1,home_win,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,south korea|czechia|2026-06-11|world cup,True
537328,2026-06-12,South Korea,Czechia,2,1,home_win,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,south korea|czechia|2026-06-12|world cup,True
537333,2026-06-12,Canada,Bosnia-H.,1,1,draw,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,canada|bosnia and herzegovina|2026-06-12|world cup,True
csv_2026_06_12_canada_bosnia_and_herzegovina_1_1_fifa_world_cup,2026-06-12,Canada,Bosnia and Herzegovina,1,1,draw,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,canada|bosnia and herzegovina|2026-06-12|world cup,True
csv_2026_06_12_united_states_paraguay_4_1_fifa_world_cup,2026-06-12,United States,Paraguay,4,1,home_win,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,united states|paraguay|2026-06-12|world cup,True
537334,2026-06-13,Qatar,Switzerland,1,1,draw,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,qatar|switzerland|2026-06-13|world cup,True
csv_2026_06_13_australia_turkey_2_0_fifa_world_cup,2026-06-13,Australia,Turkey,2,0,home_win,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,australia|turkey|2026-06-13|world cup,True
csv_2026_06_13_brazil_morocco_1_1_fifa_world_cup,2026-06-13,Brazil,Morocco,1,1,draw,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,brazil|morocco|2026-06-13|world cup,True
csv_2026_06_13_haiti_scotland_0_1_fifa_world_cup,2026-06-13,Haiti,Scotland,0,1,away_win,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,haiti|scotland|2026-06-13|world cup,True
csv_2026_06_14_germany_cura_ao_7_1_fifa_world_cup,2026-06-14,Germany,Curaçao,7,1,home_win,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,germany|curacao|2026-06-14|world cup,True
csv_2026_06_14_ivory_coast_ecuador_1_0_fifa_world_cup,2026-06-14,Ivory Coast,Ecuador,1,0,home_win,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,ivory coast|ecuador|2026-06-14|world cup,True
csv_2026_06_14_netherlands_japan_2_2_fifa_world_cup,2026-06-14,Netherlands,Japan,2,2,draw,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,netherlands|japan|2026-06-14|world cup,True
csv_2026_06_14_sweden_tunisia_5_1_fifa_world_cup,2026-06-14,Sweden,Tunisia,5,1,home_win,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,sweden|tunisia|2026-06-14|world cup,True
csv_2026_06_15_belgium_egypt_1_1_fifa_world_cup,2026-06-15,Belgium,Egypt,1,1,draw,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,belgium|egypt|2026-06-15|world cup,True
csv_2026_06_15_iran_new_zealand_2_2_fifa_world_cup,2026-06-15,Iran,New Zealand,2,2,draw,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,iran|new zealand|2026-06-15|world cup,True
csv_2026_06_15_saudi_arabia_uruguay_1_1_fifa_world_cup,2026-06-15,Saudi Arabia,Uruguay,1,1,draw,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,saudi arabia|uruguay|2026-06-15|world cup,True
csv_2026_06_15_spain_cape_verde_0_0_fifa_world_cup,2026-06-15,Spain,Cape Verde,0,0,draw,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,spain|cape verde|2026-06-15|world cup,True
csv_2026_06_16_argentina_algeria_3_0_fifa_world_cup,2026-06-16,Argentina,Algeria,3,0,home_win,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,argentina|algeria|2026-06-16|world cup,True
csv_2026_06_16_austria_jordan_3_1_fifa_world_cup,2026-06-16,Austria,Jordan,3,1,home_win,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,austria|jordan|2026-06-16|world cup,True
csv_2026_06_16_france_senegal_3_1_fifa_world_cup,2026-06-16,France,Senegal,3,1,home_win,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,france|senegal|2026-06-16|world cup,True
csv_2026_06_16_iraq_norway_1_4_fifa_world_cup,2026-06-16,Iraq,Norway,1,4,away_win,,,,,no_fixture_match,0.0,"No fixture matched this result row by ID, teams, and date.",unknown,,iraq|norway|2026-06-16|world cup,True
537403,2026-06-17,Portugal,DR Congo,1,1,draw,66457030,2026-06-17T17:00:00+00:00,Portugal,DR Congo,exact_home_away_same_utc_date,0.98,Result teams exactly matched fixture teams on the same UTC date.,same,17.0,portugal|dr congo|2026-06-17|world cup,True
537409,2026-06-17,England,Croatia,4,2,home_win,66457042,2026-06-17T20:00:00+00:00,England,Croatia,exact_home_away_same_utc_date,0.98,Result teams exactly matched fixture teams on the same UTC date.,same,20.0,england|croatia|2026-06-17|world cup,True
537410,2026-06-17,Ghana,Panama,1,0,home_win,66457044,2026-06-17T23:00:00+00:00,Ghana,Panama,exact_home_away_same_utc_date,0.98,Result teams exactly matched fixture teams on the same UTC date.,same,23.0,ghana|panama|2026-06-17|world cup,True
66457030,2026-06-17,Portugal,DR Congo,1,1,draw,66457030,2026-06-17T17:00:00+00:00,Portugal,DR Congo,exact_match_id,1.0,Result match_id matched fixture match_id exactly.,same,17.0,portugal|dr congo|2026-06-17|world cup,True
66457042,2026-06-17,England,Croatia,4,2,home_win,66457042,2026-06-17T20:00:00+00:00,England,Croatia,exact_match_id,1.0,Result match_id matched fixture match_id exactly.,same,20.0,england|croatia|2026-06-17|world cup,True
66457044,2026-06-17,Ghana,Panama,1,0,home_win,66457044,2026-06-17T23:00:00+00:00,Ghana,Panama,exact_match_id,1.0,Result match_id matched fixture match_id exactly.,same,23.0,ghana|panama|2026-06-17|world cup,True
csv_2026_06_17_uzbekistan_colombia_1_3_fifa_world_cup,2026-06-17,Uzbekistan,Colombia,1,3,away_win,66457032,2026-06-18T02:00:00+00:00,Uzbekistan,Colombia,exact_home_away_within_36h,0.96,Result teams exactly matched fixture teams within 36 hours.,same,26.0,uzbekistan|colombia|2026-06-18|world cup,True
66456910,2026-06-18,Czechia,South Africa,1,1,draw,66456910,2026-06-18T16:00:00+00:00,Czechia,South Africa,exact_match_id,1.0,Result match_id matched fixture match_id exactly.,same,16.0,czechia|south africa|2026-06-18|world cup,True
66456920,2026-06-18,Canada,Qatar,6,0,home_win,66456920,2026-06-18T22:00:00+00:00,Canada,Qatar,exact_match_id,1.0,Result match_id matched fixture match_id exactly.,same,22.0,canada|qatar|2026-06-18|world cup,True
66456922,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,home_win,66456922,2026-06-18T19:00:00+00:00,Switzerland,Bosnia and Herzegovina,exact_match_id,1.0,Result match_id matched fixture match_id exactly.,same,19.0,switzerland|bosnia and herzegovina|2026-06-18|world cup,True
66457032,2026-06-18,Uzbekistan,Colombia,1,3,away_win,66457032,2026-06-18T02:00:00+00:00,Uzbekistan,Colombia,exact_match_id,1.0,Result match_id matched fixture match_id exactly.,same,2.0,uzbekistan|colombia|2026-06-18|world cup,True
csv_2026_06_18_canada_qatar_6_0_fifa_world_cup,2026-06-18,Canada,Qatar,6,0,home_win,66456920,2026-06-18T22:00:00+00:00,Canada,Qatar,exact_home_away_same_utc_date,0.98,Result teams exactly matched fixture teams on the same UTC date.,same,22.0,canada|qatar|2026-06-18|world cup,True
csv_2026_06_18_czechia_south_africa_1_1_fifa_world_cup,2026-06-18,Czechia,South Africa,1,1,draw,66456910,2026-06-18T16:00:00+00:00,Czechia,South Africa,exact_home_away_same_utc_date,0.98,Result teams exactly matched fixture teams on the same UTC date.,same,16.0,czechia|south africa|2026-06-18|world cup,True
csv_2026_06_18_mexico_south_korea_1_0_fifa_world_cup,2026-06-18,Mexico,South Korea,1,0,home_win,66456908,2026-06-19T01:00:00+00:00,Mexico,South Korea,exact_home_away_within_36h,0.96,Result teams exactly matched fixture teams within 36 hours.,same,25.0,mexico|south korea|2026-06-19|world cup,True
csv_2026_06_18_switzerland_bosnia_and_herzegovina_4_1_fifa_world_cup,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,home_win,66456922,2026-06-18T19:00:00+00:00,Switzerland,Bosnia and Herzegovina,exact_home_away_same_utc_date,0.98,Result teams exactly matched fixture teams on the same UTC date.,same,19.0,switzerland|bosnia and herzegovina|2026-06-18|world cup,True
66456908,2026-06-19,Mexico,South Korea,1,0,home_win,66456908,2026-06-19T01:00:00+00:00,Mexico,South Korea,exact_match_id,1.0,Result match_id matched fixture match_id exactly.,same,1.0,mexico|south korea|2026-06-19|world cup,True
csv_2026_06_19_brazil_haiti_3_0_fifa_world_cup,2026-06-19,Brazil,Haiti,3,0,home_win,wc2026_29,2026-06-20T00:30:00+00:00,Brazil,Haiti,exact_home_away_within_36h,0.96,Result teams exactly matched fixture teams within 36 hours.,same,24.5,brazil|haiti|2026-06-20|world cup,True
csv_2026_06_19_scotland_morocco_0_1_fifa_world_cup,2026-06-19,Scotland,Morocco,0,1,away_win,wc2026_30,2026-06-19T22:00:00+00:00,Scotland,Morocco,exact_home_away_same_utc_date,0.98,Result teams exactly matched fixture teams on the same UTC date.,same,22.0,scotland|morocco|2026-06-19|world cup,True
csv_2026_06_19_turkey_paraguay_0_1_fifa_world_cup,2026-06-19,Turkey,Paraguay,0,1,away_win,wc2026_31,2026-06-20T03:00:00+00:00,Turkiye,Paraguay,normalized_home_away_within_36h,0.88,Normalized result teams matched fixture teams within 36 hours.,same,27.0,turkey|paraguay|2026-06-20|world cup,True
csv_2026_06_19_united_states_australia_2_0_fifa_world_cup,2026-06-19,United States,Australia,2,0,home_win,wc2026_32,2026-06-19T19:00:00+00:00,United States,Australia,exact_home_away_same_utc_date,0.98,Result teams exactly matched fixture teams on the same UTC date.,same,19.0,united states|australia|2026-06-19|world cup,True
wc2026_30,2026-06-19,Scotland,Morocco,0,1,away_win,wc2026_30,2026-06-19T22:00:00+00:00,Scotland,Morocco,exact_match_id,1.0,Result match_id matched fixture match_id exactly.,same,22.0,scotland|morocco|2026-06-19|world cup,True
wc2026_32,2026-06-19,United States,Australia,2,0,home_win,wc2026_32,2026-06-19T19:00:00+00:00,United States,Australia,exact_match_id,1.0,Result match_id matched fixture match_id exactly.,same,19.0,united states|australia|2026-06-19|world cup,True
