team,reference_date,behavior_window_start,behavior_window_end,matches_available_all_time,matches_used_recent,oldest_match_used,latest_match_used,behavior_config_name,n_matches,weighted_goals_for,weighted_goals_for_raw,weighted_goals_for_adjusted,weighted_goals_against,weighted_goals_against_raw,weighted_goals_against_adjusted,weighted_goal_difference,all_time_goals_for,all_time_goals_against,attack_index,attack_index_raw,attack_index_adjusted_old,attack_index_adjusted,attack_index_residual,attack_index_residual_raw,attack_index_residual_robust,attack_index_final,defense_index,defense_index_raw,defense_index_adjusted_old,defense_index_adjusted,defense_index_residual,defense_index_residual_raw,defense_index_residual_robust,defense_index_final,weighted_goal_for_residual,weighted_goal_for_residual_raw,weighted_goal_for_residual_robust,weighted_goal_against_residual,weighted_goal_against_residual_raw,weighted_goal_against_residual_robust,weighted_result_residual,residual_coverage_recent,mean_blowout_weight_recent,top_3_attack_residual_share,top_3_defense_residual_share,recent_form_index,weighted_btts_rate,weighted_over_2_5_rate,clean_sheet_rate,failed_to_score_rate,environment_response_index,environment_sample_size,attack_data_quality,defense_data_quality,form_data_quality,environment_data_quality,overall_data_quality,behavior_warning,sample_size_warning,staleness_warning,opponent_quality_warning,mean_opponent_elo_recent,median_opponent_elo_recent,min_opponent_elo_recent,max_opponent_elo_recent,opponent_elo_coverage_recent,strong_opponent_match_count,weak_opponent_match_count,schedule_strength_label,schedule_strength_warning,opponent_adjustment_warning,residual_warning,residual_concentration_warning,last_updated
Abkhazia,2026-06-27,2022-06-27,2026-06-27,33,0,,,calibrated_4y_40m_hl365,0,,,,,,,,1.636,0.788,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0.0,,,,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,,2026-06-25T22:09:13+00:00
Afghanistan,2026-06-27,2022-06-27,2026-06-27,147,22,2023-06-13,2026-06-10,calibrated_4y_40m_hl365,22,0.347,0.427,0.347,1.408,1.201,1.408,-1.062,0.966,1.993,0.191,0.205,0.166,0.166,0.158,0.162,0.158,0.191,0.499,0.478,0.401,0.401,0.548,0.514,0.548,0.499,-1.025,-1.014,-1.025,-0.145,-0.043,-0.145,-0.249,1.0,0.984,0.58,0.455,0.203,0.245,0.144,0.26,0.594,0.5,0,moderate,moderate,moderate,none,moderate,Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,,1331.314,1240.918,1070.949,1839.14,1.0,2,12,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment. Defense index reduced after opponent-quality adjustment.,,,2026-06-25T22:09:13+00:00
Albania,2026-06-27,2022-06-27,2026-06-27,398,40,2022-10-26,2026-06-06,calibrated_4y_40m_hl365,40,0.869,0.87,0.869,0.82,0.938,0.82,0.049,0.947,1.48,0.349,0.371,0.376,0.376,0.298,0.312,0.298,0.349,0.596,0.573,0.604,0.604,0.65,0.651,0.65,0.596,-0.607,-0.563,-0.607,-0.45,-0.454,-0.45,-0.038,1.0,0.985,0.282,0.376,0.407,0.287,0.279,0.382,0.399,0.5,0,high,high,high,none,high,Recent schedule skews toward strong opponents.; Defense index increased after opponent-quality adjustment.; Attack boosted by opponent adjustment but goal residual is negative. Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1626.059,1732.01,1079.522,2022.361,1.0,23,7,strong,Recent schedule skews toward strong opponents.,Defense index increased after opponent-quality adjustment.,Attack boosted by opponent adjustment but goal residual is negative. Schedule strength may be misleading; residuals do not support the full opponent boost.,,2026-06-25T22:09:13+00:00
Alderney,2026-06-27,2022-06-27,2026-06-27,135,0,,,calibrated_4y_40m_hl365,0,,,,,,,,0.541,4.593,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0.0,,,,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,,2026-06-25T22:09:13+00:00
Algeria,2026-06-27,2022-06-27,2026-06-27,618,40,2024-01-05,2026-06-16,calibrated_4y_40m_hl365,40,1.815,1.816,1.815,0.761,0.853,0.761,1.054,1.542,0.997,0.612,0.664,0.672,0.672,0.491,0.602,0.491,0.612,0.637,0.648,0.679,0.679,0.611,0.598,0.611,0.637,-0.027,0.306,-0.027,-0.333,-0.295,-0.333,0.038,1.0,0.883,0.26,0.295,0.697,0.35,0.583,0.514,0.277,0.5,0,high,high,high,none,high,Defense index increased after opponent-quality adjustment.; Schedule strength may be misleading; residuals do not support the full opponent boost.,,,,1569.023,1528.133,1095.609,2058.762,1.0,7,1,average,,Defense index increased after opponent-quality adjustment.,Schedule strength may be misleading; residuals do not support the full opponent boost.,,2026-06-25T22:09:13+00:00
Ambazonia,2026-06-27,2022-06-27,2026-06-27,6,0,,,calibrated_4y_40m_hl365,0,,,,,,,,0.5,2.833,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0.0,,,,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,,2026-06-25T22:09:13+00:00
American Samoa,2026-06-27,2022-06-27,2026-06-27,55,7,2023-11-20,2026-03-28,calibrated_4y_40m_hl365,7,0.612,0.813,0.612,3.809,3.774,3.809,-3.197,0.6,6.491,0.361,0.363,0.273,0.273,0.357,0.333,0.357,0.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.429,-0.502,-0.429,1.511,4.019,1.511,-0.462,1.0,0.674,0.872,0.86,0.0,0.406,0.887,0.0,0.594,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; Recent goals-against differs from all-time by -2.68.; Recent schedule skews toward weak opponents.; Attack index reduced after opponent-quality adjustment.; Attack residuals are concentrated in the top 3 matches (87%). Defense residuals are concentrated in the top 3 matches (86%).,Fewer than 8 recent matches; behavior is insufficient.,,,1214.678,1155.786,1056.681,1579.384,1.0,0,6,weak,Recent schedule skews toward weak opponents.,Attack index reduced after opponent-quality adjustment.,,Attack residuals are concentrated in the top 3 matches (87%). Defense residuals are concentrated in the top 3 matches (86%).,2026-06-25T22:09:13+00:00
Andalusia,2026-06-27,2022-06-27,2026-06-27,13,0,,,calibrated_4y_40m_hl365,0,,,,,,,,1.923,1.077,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0.0,,,,0.5,,,,,0.5,0,insufficient,insufficient,insufficient,none,insufficient,Fewer than 8 recent matches; behavior is insufficient.; No recent match date available.; Opponent Elo missing for recent matches; schedule strength unknown.; Residual coverage is 0%; residual behavior is unreliable.,Fewer than 8 recent matches; behavior is insufficient.,No recent match date available.,,,,,,0.0,0,0,unknown,Opponent Elo missing for recent matches; schedule strength unknown.,,Residual coverage is 0%; residual behavior is unreliable.,,2026-06-25T22:09:13+00:00
Andorra,2026-06-27,2022-06-27,2026-06-27,229,39,2022-09-22,2026-06-07,calibrated_4y_40m_hl365,39,0.346,0.376,0.346,1.565,1.685,1.565,-1.219,0.328,2.371,0.218,0.172,0.159,0.159,0.327,0.323,0.327,0.218,0.434,0.323,0.345,0.345,0.693,0.673,0.693,0.434,-0.518,-0.532,-0.518,-0.578,-0.519,-0.578,-0.006,1.0,0.937,0.271,0.328,0.109,0.175,0.368,0.135,0.759,0.5,0,high,high,high,none,high,Recent goals-against differs from all-time by -0.81.; Large raw-vs-residual defense disagreement.,,,,1518.581,1543.202,928.018,1992.466,1.0,9,9,average,,,Large raw-vs-residual defense disagreement.,,2026-06-25T22:09:13+00:00
Angola,2026-06-27,2022-06-27,2026-06-27,415,40,2023-06-17,2026-06-09,calibrated_4y_40m_hl365,40,1.116,1.17,1.116,0.912,0.912,0.912,0.204,1.133,1.031,0.461,0.483,0.464,0.464,0.407,0.418,0.407,0.461,0.599,0.582,0.586,0.586,0.639,0.642,0.639,0.599,-0.278,-0.245,-0.278,-0.418,-0.427,-0.418,-0.016,1.0,0.981,0.315,0.397,0.415,0.527,0.384,0.362,0.321,0.5,0,high,high,high,none,high,,,,,1532.605,1513.745,1231.367,2053.982,1.0,6,4,average,,,,,2026-06-25T22:09:13+00:00
