team,reference_attack,reference_defense,reference_recent_form,reference_overall_strength,source,last_updated,notes
Algeria,,,,,,,Placeholder row; fill independent/manual prior before approval.
Argentina,,,,0.893,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Australia,,,,,,,Placeholder row; fill independent/manual prior before approval.
Austria,,,,,,,Placeholder row; fill independent/manual prior before approval.
Belgium,,,,,,,Placeholder row; fill independent/manual prior before approval.
Bosnia and Herzegovina,,,,,,,Placeholder row; fill independent/manual prior before approval.
Brazil,,,,0.857,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Canada,,,,,,,Placeholder row; fill independent/manual prior before approval.
Cape Verde,,,,,,,Placeholder row; fill independent/manual prior before approval.
Colombia,,,,,,,Placeholder row; fill independent/manual prior before approval.
Croatia,,,,,,,Placeholder row; fill independent/manual prior before approval.
Curaçao,,,,,,,Placeholder row; fill independent/manual prior before approval.
Czechia,,,,,,,Placeholder row; fill independent/manual prior before approval.
DR Congo,,,,,,,Placeholder row; fill independent/manual prior before approval.
Ecuador,,,,,,,Placeholder row; fill independent/manual prior before approval.
Egypt,,,,,,,Placeholder row; fill independent/manual prior before approval.
England,,,,0.876,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
France,,,,0.889,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Germany,,,,0.843,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Ghana,,,,,,,Placeholder row; fill independent/manual prior before approval.
Haiti,,,,,,,Placeholder row; fill independent/manual prior before approval.
Iran,,,,,,,Placeholder row; fill independent/manual prior before approval.
Iraq,,,,,,,Placeholder row; fill independent/manual prior before approval.
Ivory Coast,,,,,,,Placeholder row; fill independent/manual prior before approval.
Japan,,,,,,,Placeholder row; fill independent/manual prior before approval.
Jordan,,,,,,,Placeholder row; fill independent/manual prior before approval.
Mexico,,,,,,,Placeholder row; fill independent/manual prior before approval.
Morocco,,,,0.852,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Netherlands,,,,0.851,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
New Zealand,,,,,,,Placeholder row; fill independent/manual prior before approval.
Norway,,,,0.766,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Panama,,,,,,,Placeholder row; fill independent/manual prior before approval.
Paraguay,,,,,,,Placeholder row; fill independent/manual prior before approval.
Portugal,,,,0.858,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Qatar,,,,,,,Placeholder row; fill independent/manual prior before approval.
Saudi Arabia,,,,,,,Placeholder row; fill independent/manual prior before approval.
Scotland,,,,,,,Placeholder row; fill independent/manual prior before approval.
Senegal,,,,,,,Placeholder row; fill independent/manual prior before approval.
South Africa,,,,,,,Placeholder row; fill independent/manual prior before approval.
South Korea,,,,,,,Placeholder row; fill independent/manual prior before approval.
Spain,,,,0.891,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Sweden,,,,,,,Placeholder row; fill independent/manual prior before approval.
Switzerland,,,,,,,Placeholder row; fill independent/manual prior before approval.
Tunisia,,,,,,,Placeholder row; fill independent/manual prior before approval.
Turkey,,,,,,,Placeholder row; fill independent/manual prior before approval.
United States,,,,0.816,FIFA ranking snapshot via Sofascore,2026-06-21,Source lists USA; mapped to United States Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Uruguay,,,,0.818,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Uzbekistan,,,,,,,Placeholder row; fill independent/manual prior before approval.
