team,reference_attack,reference_defense,reference_recent_form,reference_overall_strength,source,last_updated,notes
Argentina,,,,0.893,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Brazil,,,,0.857,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
France,,,,0.889,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Germany,,,,0.843,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Spain,,,,0.891,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Netherlands,,,,0.851,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Portugal,,,,0.858,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
England,,,,0.876,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Uruguay,,,,0.818,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Morocco,,,,0.852,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
United States,,,,0.816,FIFA ranking snapshot via Sofascore,2026-06-21,Source lists USA; mapped to United States Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
Norway,,,,0.766,FIFA ranking snapshot via Sofascore,2026-06-21,External overall-strength prior only Overall strength imported from manual rank/points/Elo input. Attack/defense/form left blank; not inferred from overall strength.
