team,current_attack,current_defense,current_recent_form,behavior_attack_final,behavior_defense_final,behavior_recent_form,external_overall_strength,calibrated_attack,calibrated_defense,calibrated_recent_form,attack_delta,defense_delta,recent_form_delta,data_quality_current,data_quality_proposed,source,warning,notes
England,0.82,0.8,0.78,0.821,0.623,0.889,0.876,0.837,0.823,0.799,0.017,0.023,0.019,manual_csv,external_benchmark_calibrated,FIFA ranking snapshot via Sofascore,manual_existing_calibration_suggested,External benchmark calibrated from FIFA/Elo prior; formula documented; review after backtesting.
Croatia,0.7,0.74,0.67,0.703,0.367,0.534,,0.7,0.74,0.67,0.0,0.0,0.0,manual_csv,manual_csv,,missing_external_benchmark,External benchmark missing; rating unchanged.
Portugal,0.84,0.76,0.76,0.603,0.54,0.642,0.858,0.845,0.789,0.78,0.005,0.029,0.02,manual_csv,external_benchmark_calibrated,FIFA ranking snapshot via Sofascore,manual_existing_calibration_suggested,External benchmark calibrated from FIFA/Elo prior; formula documented; review after backtesting.
DR Congo,0.48,0.5,0.52,0.509,0.717,0.592,,0.48,0.5,0.52,0.0,0.0,0.0,manual_csv,manual_csv,,missing_external_benchmark,External benchmark missing; rating unchanged.
Ghana,0.58,0.55,0.51,0.495,0.678,0.627,,0.58,0.55,0.51,0.0,0.0,0.0,manual_csv,manual_csv,,missing_external_benchmark,External benchmark missing; rating unchanged.
Panama,0.44,0.45,0.55,0.497,0.546,0.513,,0.44,0.45,0.55,0.0,0.0,0.0,manual_csv,manual_csv,,missing_external_benchmark,External benchmark missing; rating unchanged.
Uzbekistan,0.46,0.5,0.58,0.512,0.553,0.501,,0.46,0.5,0.58,0.0,0.0,0.0,manual_csv,manual_csv,,missing_external_benchmark,External benchmark missing; rating unchanged.
Colombia,0.72,0.68,0.74,0.717,0.553,0.719,,0.72,0.68,0.74,0.0,0.0,0.0,manual_csv,manual_csv,,missing_external_benchmark,External benchmark missing; rating unchanged.
Czechia,0.6,0.62,0.6,0.616,0.447,0.439,,0.6,0.62,0.6,0.0,0.0,0.0,manual_csv,manual_csv,,missing_external_benchmark,External benchmark missing; rating unchanged.
South Africa,0.42,0.44,0.48,0.433,0.527,0.42,,0.42,0.44,0.48,0.0,0.0,0.0,manual_csv,manual_csv,,missing_external_benchmark,External benchmark missing; rating unchanged.
Switzerland,0.68,0.72,0.65,0.672,0.569,0.603,,0.68,0.72,0.65,0.0,0.0,0.0,manual_csv,manual_csv,,missing_external_benchmark,External benchmark missing; rating unchanged.
Bosnia and Herzegovina,0.5,0.49,0.46,0.531,0.448,0.363,,0.5,0.49,0.46,0.0,0.0,0.0,manual_csv,manual_csv,,missing_external_benchmark,External benchmark missing; rating unchanged.
