team,rating_status,current_attack,current_defense,current_recent_form,current_elo,behavior_attack_final,behavior_defense_final,behavior_recent_form,elo_scaled_attack,elo_scaled_defense,reviewed_attack,reviewed_defense,reviewed_recent_form,current_data_quality,recommended_data_quality,review_action,notes
Argentina,generated_from_behavior,0.597,0.624,0.651,2058.8,0.708,0.798,0.886,0.889,0.889,0.668,0.707,0.745,generated_from_behavior,manual_review_candidate,review_candidate,Generated review suggestion; requires human confirmation. Source row was generated and should remain marked until reviewed.
Brazil,generated_from_behavior,0.573,0.566,0.582,1969.6,0.626,0.603,0.657,0.854,0.854,0.628,0.618,0.612,generated_from_behavior,manual_review_candidate,review_candidate,Generated review suggestion; requires human confirmation. Source row was generated and should remain marked until reviewed.
France,generated_from_behavior,0.62,0.558,0.63,2037.7,0.784,0.576,0.817,0.877,0.877,0.7,0.61,0.705,generated_from_behavior,manual_review_candidate,review_candidate,Generated review suggestion; requires human confirmation. Source row was generated and should remain marked until reviewed.
Germany,generated_from_behavior,0.627,0.557,0.636,1956.8,0.808,0.573,0.838,0.831,0.831,0.703,0.602,0.717,generated_from_behavior,manual_review_candidate,review_candidate,Generated review suggestion; requires human confirmation. Source row was generated and should remain marked until reviewed.
Spain,generated_from_behavior,0.6,0.586,0.622,2094.3,0.718,0.671,0.79,0.9,0.9,0.674,0.654,0.689,generated_from_behavior,manual_review_candidate,review_candidate,Generated review suggestion; requires human confirmation. Source row was generated and should remain marked until reviewed.
Netherlands,generated_from_behavior,0.615,0.543,0.581,1938.8,0.767,0.528,0.654,0.82,0.82,0.684,0.581,0.61,generated_from_behavior,manual_review_candidate,review_candidate,Generated review suggestion; requires human confirmation. Source row was generated and should remain marked until reviewed.
Portugal,manual_existing,0.84,0.76,0.76,1965.0,0.603,0.54,0.642,0.843,0.843,0.84,0.76,0.76,manual_csv,manual_csv,preserve_existing_manual,Existing manual rating preserved; no generated review proposal.
England,manual_existing,0.82,0.8,0.78,1980.0,0.821,0.623,0.889,0.866,0.866,0.82,0.8,0.78,manual_csv,manual_csv,preserve_existing_manual,Existing manual rating preserved; no generated review proposal.
Uruguay,generated_from_behavior,0.503,0.587,0.529,1891.9,0.393,0.673,0.481,0.762,0.762,0.514,0.635,0.51,generated_from_behavior,manual_review_candidate,review_candidate,Generated review suggestion; requires human confirmation. Source row was generated and should remain marked until reviewed.
Morocco,generated_from_behavior,0.581,0.628,0.64,1922.8,0.652,0.809,0.85,0.785,0.785,0.629,0.697,0.724,generated_from_behavior,manual_review_candidate,review_candidate,Generated review suggestion; requires human confirmation. Source row was generated and should remain marked until reviewed.
United States,generated_from_behavior,0.605,0.54,0.601,1860.8,0.734,0.518,0.719,0.728,0.728,0.656,0.563,0.648,generated_from_behavior,manual_review_candidate,review_candidate,Generated review suggestion; requires human confirmation. Source row was generated and should remain marked until reviewed.
Norway,generated_from_behavior,0.644,0.568,0.638,1866.6,0.862,0.611,0.843,0.74,0.74,0.713,0.604,0.72,generated_from_behavior,manual_review_candidate,review_candidate,Generated review suggestion; requires human confirmation. Source row was generated and should remain marked until reviewed.
