venue,city,country,latitude,longitude,altitude_m,temp_c,humidity_pct,wind_kmh,precipitation_mm,roof_expected_closed,neutral_site
Dallas Stadium,Arlington,USA,32.7473,-97.0945,190,22,45,0,0,1,1
Mercedes-Benz Stadium,Atlanta,USA,33.7554,-84.4008,320,22,50,0,0,1,1
NRG Stadium,Houston,USA,29.6847,-95.4107,15,23,55,0,0,1,1
Arrowhead Stadium,Kansas City,USA,39.0489,-94.4839,265,28,58,12,0,0,1
Levi's Stadium,Santa Clara,USA,37.4030,-121.9700,3,24,55,14,0,0,1
BMO Field,Toronto,Canada,43.6332,-79.4186,76,23,60,10,0,0,0
Estadio Azteca,Mexico City,Mexico,19.3029,-99.1505,2240,20,45,8,0,0,0
Estadio Akron,Zapopan,Mexico,20.6819,-103.4628,1566,24,55,8,0,0,0
Lumen Field,Seattle,USA,47.5952,-122.3316,5,19,65,10,0,0,1
Gillette Stadium,Foxborough,USA,42.0909,-71.2643,88,24,60,10,0,0,1
Lincoln Financial Field,Philadelphia,USA,39.9008,-75.1675,12,27,62,9,0,0,1
Estadio BBVA,Guadalupe,Mexico,25.6682,-100.2448,540,29,58,8,0,0,1
SoFi Stadium,Inglewood,USA,33.9535,-118.3392,38,22,60,0,0,1,1
Hard Rock Stadium,Miami Gardens,USA,25.9580,-80.2389,2,30,75,12,1,0,1
BC Place,Vancouver,Canada,49.2768,-123.1119,10,20,60,0,0,1,1
MetLife Stadium,East Rutherford,USA,40.8135,-74.0745,2,25,60,12,0,0,1
