metric,value
usable_evaluated_predictions_before_fix,2
prediction_snapshots,62
unique_prediction_match_ids,35
exact_match_id_joins_possible,2
fixture_bridge_joins_possible,0
normalized_team_date_joins_possible,0
home_away_order_mismatch_matches,0
usable_evaluated_predictions_after_latest_selection,1
excluded_predictions,61
join_status:no_result_found,55
join_status:prediction_generated_after_kickoff,3
join_status:result_not_completed,2
join_status:duplicate_snapshot_not_selected,1
join_status:exact_match_id_join,1
